CustomerID,Name,City,Amount
1,Customer_1,City_1,10
2,Customer_2,City_2,20
3,Customer_3,City_3,30
4,Customer_4,City_4,40
5,Customer_5,City_5,50
6,Customer_6,City_6,60
7,Customer_7,City_7,70
8,Customer_8,City_8,80
9,Customer_9,City_9,90
10,Customer_10,City_10,100
11,Customer_11,City_11,110
12,Customer_12,City_12,120
13,Customer_13,City_13,130
14,Customer_14,City_14,140
15,Customer_15,City_15,150
16,Customer_16,City_16,160
17,Customer_17,City_17,170
18,Customer_18,City_18,180
19,Customer_19,City_19,190
20,Customer_20,City_20,200
21,Customer_21,City_21,210
22,Customer_22,City_22,220
23,Customer_23,City_23,230
24,Customer_24,City_24,240
25,Customer_25,City_25,250
26,Customer_26,City_26,260
27,Customer_27,City_27,270
28,Customer_28,City_28,280
29,Customer_29,City_29,290
30,Customer_30,City_30,300
31,Customer_31,City_31,310
32,Customer_32,City_32,320
33,Customer_33,City_33,330
34,Customer_34,City_34,340
35,Customer_35,City_35,350
36,Customer_36,City_36,360
37,Customer_37,City_37,370
38,Customer_38,City_38,380
39,Customer_39,City_39,390
40,Customer_40,City_40,400
41,Customer_41,City_41,410
42,Customer_42,City_42,420
43,Customer_43,City_43,430
44,Customer_44,City_44,440
45,Customer_45,City_45,450
46,Customer_46,City_46,460
47,Customer_47,City_47,470
48,Customer_48,City_48,480
49,Customer_49,City_49,490
50,Customer_50,City_50,500
51,Customer_51,City_51,510
52,Customer_52,City_52,520
53,Customer_53,City_53,530
54,Customer_54,City_54,540
55,Customer_55,City_55,550
56,Customer_56,City_56,560
57,Customer_57,City_57,570
58,Customer_58,City_58,580
59,Customer_59,City_59,590
60,Customer_60,City_60,600
61,Customer_61,City_61,610
62,Customer_62,City_62,620
63,Customer_63,City_63,630
64,Customer_64,City_64,640
65,Customer_65,City_65,650
66,Customer_66,City_66,660
67,Customer_67,City_67,670
68,Customer_68,City_68,680
69,Customer_69,City_69,690
70,Customer_70,City_70,700
71,Customer_71,City_71,710
72,Customer_72,City_72,720
73,Customer_73,City_73,730
74,Customer_74,City_74,740
75,Customer_75,City_75,750
76,Customer_76,City_76,760
77,Customer_77,City_77,770
78,Customer_78,City_78,780
79,Customer_79,City_79,790
80,Customer_80,City_80,800
81,Customer_81,City_81,810
82,Customer_82,City_82,820
83,Customer_83,City_83,830
84,Customer_84,City_84,840
85,Customer_85,City_85,850
86,Customer_86,City_86,860
87,Customer_87,City_87,870
88,Customer_88,City_88,880
89,Customer_89,City_89,890
90,Customer_90,City_90,900
91,Customer_91,City_91,910
92,Customer_92,City_92,920
93,Customer_93,City_93,930
94,Customer_94,City_94,940
95,Customer_95,City_95,950
96,Customer_96,City_96,960
97,Customer_97,City_97,970
98,Customer_98,City_98,980
99,Customer_99,City_99,990
100,Customer_100,City_0,1000
101,Customer_101,City_1,1010
102,Customer_102,City_2,1020
103,Customer_103,City_3,1030
104,Customer_104,City_4,1040
105,Customer_105,City_5,1050
106,Customer_106,City_6,1060
107,Customer_107,City_7,1070
108,Customer_108,City_8,1080
109,Customer_109,City_9,1090
110,Customer_110,City_10,1100
111,Customer_111,City_11,1110
112,Customer_112,City_12,1120
113,Customer_113,City_13,1130
114,Customer_114,City_14,1140
115,Customer_115,City_15,1150
116,Customer_116,City_16,1160
117,Customer_117,City_17,1170
118,Customer_118,City_18,1180
119,Customer_119,City_19,1190
120,Customer_120,City_20,1200
121,Customer_121,City_21,1210
122,Customer_122,City_22,1220
123,Customer_123,City_23,1230
124,Customer_124,City_24,1240
125,Customer_125,City_25,1250
126,Customer_126,City_26,1260
127,Customer_127,City_27,1270
128,Customer_128,City_28,1280
129,Customer_129,City_29,1290
130,Customer_130,City_30,1300
131,Customer_131,City_31,1310
132,Customer_132,City_32,1320
133,Customer_133,City_33,1330
134,Customer_134,City_34,1340
135,Customer_135,City_35,1350
136,Customer_136,City_36,1360
137,Customer_137,City_37,1370
138,Customer_138,City_38,1380
139,Customer_139,City_39,1390
140,Customer_140,City_40,1400
141,Customer_141,City_41,1410
142,Customer_142,City_42,1420
143,Customer_143,City_43,1430
144,Customer_144,City_44,1440
145,Customer_145,City_45,1450
146,Customer_146,City_46,1460
147,Customer_147,City_47,1470
148,Customer_148,City_48,1480
149,Customer_149,City_49,1490
150,Customer_150,City_50,1500
151,Customer_151,City_51,1510
